date,variety_id,variety_name,month,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,tech1,tech2,tech3,tech4,tech5,tech6,tech7,tech8,tech9,tech10,tech11,tech12,tech13,tech14,tech15,tech16,tech17,tech18,tech19,tech20,tech21,tech22,tech23,tech24,y,raw_change
2025-06-25,8,LMT,6,0.2660,0.6240,0.4410,0.5000,0.6800,0.6000,0.5000,0.5200,0.5800,0.5200,0.4200,0.3032,0.5200,0.5500,0.1730,0.3303,0.1972,0.5000,0.0530,0.9470,0.0700,0.4033,0.6138,0.4843,0.2944,0.2748,0.2454,0.0712,0.1418,0.7625,0.4150,0.3337,0.6663,0.3893,0.6107,0.7597,0.4707,0.5000,0.494656,-0.001069
2025-06-25,9,MARA,6,0.2520,0.4940,0.4200,0.5200,0.4200,0.3800,0.4800,0.5200,0.5800,0.5500,0.5040,0.4029,0.4000,0.5000,0.3855,0.6225,0.1025,0.5000,0.4506,0.5494,0.1889,0.4432,1.0000,0.5269,0.6041,0.0920,0.0428,0.1787,0.2172,0.2241,0.2201,0.4599,0.5401,0.5662,0.4338,0.3317,0.3777,0.5000,0.595605,0.019359
2025-06-25,10,MCD,6,0.2800,0.5980,0.4200,0.5200,0.7000,0.6200,0.5200,0.4800,0.5800,0.5000,0.4200,0.2241,0.5500,0.4500,0.0661,0.0974,0.2964,0.5000,0.0638,0.9362,0.1214,0.1706,0.3494,0.4195,0.3864,0.2247,0.0436,0.2274,0.5429,0.4047,0.3358,0.0412,0.9588,0.0348,0.9652,0.3895,0.3181,0.5000,0.501401,0.000280
2025-06-25,11,META,6,0.2380,0.5720,0.4200,0.5200,0.7200,0.7000,0.4200,0.6000,0.5800,0.5500,0.4410,0.7821,0.5000,0.4800,0.8487,0.9835,0.9661,1.0000,0.7934,0.2066,0.1175,0.5880,0.4086,0.4802,0.5814,0.5604,0.9746,0.0871,0.4188,0.2211,0.1521,0.9063,0.0937,0.9667,0.0333,0.3270,0.3230,0.5000,0.620422,0.024567
2025-06-25,12,MSFT,6,0.2380,0.5720,0.4200,0.5200,0.8000,0.7200,0.4000,0.6200,0.5800,0.6000,0.4410,0.8707,0.6500,0.5200,0.8865,0.9704,0.9678,1.0000,0.9909,0.0091,0.0838,0.7973,0.2679,0.5176,0.6446,0.7565,0.9168,0.1422,0.4697,0.3150,0.1636,0.9417,0.0583,0.9836,0.0164,0.1615,0.3860,0.5000,0.552420,0.010523
2025-06-25,13,MSTR,6,0.2520,0.4940,0.4200,0.5200,0.5500,0.4200,0.3800,0.5800,0.5800,0.6200,0.5040,0.7596,0.4200,0.5500,0.8175,0.7202,0.9934,1.0000,0.8353,0.1647,0.0894,0.5610,0.7056,0.6211,0.6724,0.4600,0.8247,0.2712,0.3443,0.2425,0.0850,0.8314,0.1686,0.6800,0.3200,0.3405,0.1830,0.5000,0.471344,-0.005738
2025-06-25,14,NFLX,6,0.2380,0.5720,0.4200,0.5200,0.7000,0.6500,0.4500,0.5500,0.5800,0.5500,0.4410,0.8373,0.5500,0.4800,0.8744,0.9524,0.9992,1.0000,1.0000,0.0000,0.0742,0.6099,0.3999,0.4879,0.7098,0.8157,0.8629,0.1530,0.4571,0.1931,0.1239,0.8131,0.1869,0.9399,0.0601,0.4384,0.2945,0.5000,0.620758,0.024638
2025-06-25,15,PLTR,6,0.2380,0.5720,0.4200,0.5200,0.6500,0.5500,0.3500,0.5800,0.5800,0.5500,0.4410,0.8394,0.5000,0.5200,0.9668,0.9940,1.0000,1.0000,0.8468,0.1532,0.1944,0.6346,0.9013,0.4908,0.6638,0.8698,0.9961,0.2744,0.1715,0.1333,0.1883,0.8340,0.1660,0.9183,0.0817,0.3791,0.2950,0.5000,0.547096,0.009447
2025-06-25,16,PYPL,6,0.3500,0.5720,0.4200,0.5600,0.5200,0.5000,0.5500,0.4500,0.5800,0.4800,0.4200,0.5570,0.5000,0.4800,0.6591,0.8323,0.2807,0.5000,0.6424,0.3576,0.0926,0.5077,0.5381,0.4723,0.6636,0.3624,0.6854,0.1632,0.4604,0.4705,0.2667,0.7127,0.2873,0.8589,0.1411,0.6680,0.2561,0.5000,0.506842,0.001368
2025-06-25,17,RIOT,6,0.2520,0.4940,0.4200,0.5200,0.4200,0.3800,0.4800,0.5200,0.5800,0.5500,0.5040,0.6478,0.4000,0.5000,0.9302,0.9926,0.6580,0.5000,0.6670,0.3330,0.3102,0.5448,1.0000,0.4920,0.6691,0.2542,0.9642,0.1232,0.2750,0.2272,0.3854,0.7041,0.2959,0.8141,0.1859,0.5571,0.4352,0.5000,0.734973,0.051000
2025-06-25,18,SNAP,6,0.2380,0.5720,0.4200,0.5200,0.4000,0.3500,0.5500,0.3500,0.5800,0.3500,0.4410,0.2238,0.4000,0.3800,0.2033,0.2637,0.0188,0.0000,0.1802,0.8198,0.0854,0.4239,0.9055,0.3641,0.4093,0.2051,0.1650,0.2626,0.3176,0.3685,0.0848,0.2333,0.7667,0.3128,0.6872,0.2643,0.3725,0.5000,0.568068,0.013699
2025-06-25,19,SPCX,6,0.2660,0.5460,0.4200,0.5200,0.6500,0.6000,0.5000,0.5500,0.5800,0.5500,0.4200,0.6815,0.5500,0.5000,0.7018,0.8354,0.7164,0.5000,0.9667,0.0333,0.0367,0.6252,0.1973,0.5000,0.5905,0.5550,0.7327,0.2250,0.3229,0.2974,0.2658,0.9383,0.0617,0.9838,0.0162,0.2871,0.2488,0.5000,0.540015,0.008020
